dataset,openml_id,n_samples_orig,n_samples_mod,n_classes,intervention,alpha_orig,r2_orig,alpha_mod,r2_mod,delta_alpha,direction_pred,direction_correct,feature_key,feature_orig,feature_mod,delta_feature,feat_orig_probe_difficulty,feat_orig_class_entropy,feat_orig_label_noise,feat_orig_fisher_ratio,feat_orig_class_imbalance,feat_orig_n_samples,feat_orig_n_features,feat_orig_n_classes,feat_mod_probe_difficulty,feat_mod_class_entropy,feat_mod_label_noise,feat_mod_fisher_ratio,feat_mod_class_imbalance,feat_mod_n_samples,feat_mod_n_features,feat_mod_n_classes
ozone,1487,2534,2534,2,feature_noise_07,0.24068058259580138,0.5255596564137234,0.25088183481762344,0.6519605757133331,0.010201252221822055,-1,0,probe_difficulty,0.1757622400682349,0.20393901613792703,0.028176776069692128,0.1757622400682349,0.23552477508910555,0.0734017363851618,0.005018758833107769,14.745341614906833,2534,60,2,0.20393901613792703,0.23552477508910555,0.0978689818468824,0.005132361603054239,14.745341614906833,2534,60,2
ozone,1487,2534,4748,2,smote_balance,0.24068058259580138,0.5255596564137234,0.5303946584664212,0.9306907343481542,0.2897140758706198,1,1,class_entropy,0.23552477508910555,0.6931471803599453,0.45762240527083975,0.1757622400682349,0.23552477508910555,0.0734017363851618,0.005018758833107769,14.745341614906833,2534,60,2,0.3298453030100794,0.6931471803599453,0.05518112889637742,0.039884025911265636,0.999578947368421,4748,60,2
ozone,1487,2534,2534,2,class_imbalance,0.24068058259580138,0.5255596564137234,0.17841980467768956,0.419287003675485,-0.062260777918111826,-1,1,class_entropy,0.23552477508910555,0.23552477508910555,0.0,0.1757622400682349,0.23552477508910555,0.0734017363851618,0.005018758833107769,14.745341614906833,2534,60,2,0.16515895378615889,0.23552477508910555,0.0734017363851618,0.00501875935970747,14.745341614906833,2534,60,2
hill-valley,1479,1212,1212,2,label_noise_10,0.020519118753642755,0.47465071802630854,0.02341675494933526,0.57801729332624,0.002897636195692506,-1,0,label_noise,0.400990099009901,0.43481848184818483,0.03382838283828382,0.5868123775966153,0.6931471803599453,0.400990099009901,0.0009119852332754147,0.9983525535420099,1212,60,2,0.679742127691912,0.6930804642840025,0.43481848184818483,0.0014647409380044443,1.0216666666666667,1212,60,2
hill-valley,1479,1212,1212,2,label_noise_20,0.020519118753642755,0.47465071802630854,0.046593007268816246,0.5924863543542683,0.02607388851517349,-1,0,label_noise,0.400990099009901,0.4834983498349835,0.08250825082508251,0.5868123775966153,0.6931471803599453,0.400990099009901,0.0009119852332754147,0.9983525535420099,1212,60,2,0.7342279630824518,0.6926024725342176,0.4834983498349835,0.0019110378298152033,1.0664395229982964,1212,60,2
hill-valley,1479,1212,1212,2,feature_noise_03,0.020519118753642755,0.47465071802630854,0.06510817548830435,0.3710553338334647,0.04458905673466159,-1,0,probe_difficulty,0.5868123775966153,0.7362857234501292,0.1494733458535139,0.5868123775966153,0.6931471803599453,0.400990099009901,0.0009119852332754147,0.9983525535420099,1212,60,2,0.7362857234501292,0.6931471803599453,0.4760726072607261,0.0009560719036249685,0.9983525535420099,1212,60,2
hill-valley,1479,1212,1212,2,feature_noise_07,0.020519118753642755,0.47465071802630854,0.16859647392029972,0.5899935107054001,0.14807735516665696,-1,0,probe_difficulty,0.5868123775966153,0.7442269584864285,0.1574145808898132,0.5868123775966153,0.6931471803599453,0.400990099009901,0.0009119852332754147,0.9983525535420099,1212,60,2,0.7442269584864285,0.6931471803599453,0.47029702970297027,0.0010417079967546855,0.9983525535420099,1212,60,2
hill-valley,1479,1212,1212,2,smote_balance,0.020519118753642755,0.47465071802630854,0.020519118753642755,0.47465071802630854,0.0,1,0,class_entropy,0.6931471803599453,0.6931471803599453,0.0,0.5868123775966153,0.6931471803599453,0.400990099009901,0.0009119852332754147,0.9983525535420099,1212,60,2,0.5868123775966153,0.6931471803599453,0.400990099009901,0.000911985236748934,0.9983525535420099,1212,60,2
hill-valley,1479,1212,666,2,class_imbalance,0.020519118753642755,0.47465071802630854,0.01941911348404427,0.4618962585564385,-0.0011000052695984835,-1,1,class_entropy,0.6931471803599453,0.3027462089419948,-0.3904009714179505,0.5868123775966153,0.6931471803599453,0.400990099009901,0.0009119852332754147,0.9983525535420099,1212,60,2,0.2658579002288622,0.3027462089419948,0.15765765765765766,0.001061722186880893,9.934426229508198,666,60,2
wall-robot-navigation,1497,5000,5000,4,label_noise_10,0.49168813353813345,0.9866870590473406,0.2545361307322879,0.9571867664185044,-0.23715200280584553,-1,1,label_noise,0.1116,0.273,0.16140000000000002,0.698161429941845,1.1896087337884511,0.1116,0.11104181163032366,6.5667752442996745,5000,24,4,0.9396511599766206,1.2433363159175448,0.273,0.06683204622110107,4.322727272727272,5000,24,4
